,ID,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
535,20171,2017,1,Entre Ríos,180296,57,180353
536,20171,2017,1,Formosa,29705,0,29705
537,20171,2017,1,Jujuy,43202,1,43203
538,20171,2017,1,La Pampa,71458,455,71913
539,20171,2017,1,La Rioja,16207,18,16225
540,20171,2017,1,Mendoza,169282,1451,170733
541,20171,2017,1,Misiones,97619,0,97619
542,20171,2017,1,Neuquén,113227,2112,115339
543,20171,2017,1,Río Negro,100288,1000,101288
544,20171,2017,1,Salta,107632,1,107633
545,20171,2017,1,San Juan,51253,620,51873
546,20171,2017,1,San Luis,12992,315,13307
547,20171,2017,1,Santa Cruz,26116,370,26486
548,20171,2017,1,Santa Fe,562520,362,562882
549,20171,2017,1,Santiago Del Estero,34473,2,34475
550,20171,2017,1,Tierra Del Fuego,31938,619,32557
551,20171,2017,1,Tucumán,152734,37,152771
552,20164,2016,4,Buenos Aires,3131499,11202,3142701
553,20164,2016,4,Capital Federal,1393443,8016,1401459
554,20164,2016,4,Catamarca,27021,13,27034
555,20164,2016,4,Chaco,88833,14,88847
556,20164,2016,4,Chubut,62035,1730,63765
557,20164,2016,4,Córdoba,636422,133,636555
558,20164,2016,4,Corrientes,88084,12,88096
559,20164,2016,4,Entre Ríos,180188,57,180245
560,20164,2016,4,Formosa,29513,0,29513
561,20164,2016,4,Jujuy,42624,1,42625
